,expected_score
0000,0.0026814848318418246
1000,0.03332743467232938
2000,0.03356242200741279
0100,0.0854813512985745
1100,0.08819357192072305
2100,0.08848366173051034
0010,0.15962877030162412
1010,0.18291496400077836
2010,0.20598130841121495
0110,0.22460824143934996
2001,0.25295420974889216
1110,0.2544052863436123
2110,0.270979967514889
2101,0.31339031339031337
2011,0.38658829815655893
0001,0.4959677419354839
1001,0.511204481792717
1101,0.5884353741496599
2111,0.593297974927676
1011,0.6151399491094147
0011,0.648729446935725
0101,0.6521246458923513
1111,0.7888493475682088
0111,0.8508327299058653
